date_time,id,buoy_id,lat,lon,battery,compass,flag_compass,flood,rh,flag_rh,pres,flag_pres,atmp,flag_atmp,dewpt,flag_dewpt,wspd,flag_wspd,wdir,flag_wdir,gust,flag_gust,arad,flag_arad,sst,flag_sst,cspd1,flag_cspd1,cdir1,flag_cdir1,cspd2,flag_cspd2,cdir2,flag_cdir2,cspd3,flag_cspd3,cdir3,flag_cdir3,swvht1,flag_swvht1,swvht2,flag_swvht2,mxwvht1,flag_mxwvht1,tp1,flag_tp1,tp2,flag_tp2,wvdir1,flag_wvdir1,wvdir2,flag_wvdir2,wvspread1,flag_wvspread1,pk_dir,flag_pk_dir,pk_wvspread,flag_pk_wvspread,mean_tp,flag_mean_tp
2022-08-17 22:16:42+00:00,58694,27,-24.12905,-45.676917,,,,,,,,,,,,,6.4,0,62,0,,,,,20.9,0,,,,,,,,,,,,,1.76,2,,,,,12.8,0,,,104,0,,,54,0,110,0,55,0,8.1,0
2022-08-17 21:46:42+00:00,58693,27,-24.12905,-45.6769,,,,,,,,,,,,,2.8,8,325,0,,,,,,2,,,,,,,,,,,,,1.74,2,,,,,12.8,0,,,98,0,,,58,0,98,0,62,0,8.0,0
2022-08-17 21:16:42+00:00,58686,27,-24.129067,-45.676883,,,,,,,,,,,,,3.6,8,274,0,,,,,20.9,0,,,,,,,,,,,,,1.7,2,,,,,12.8,0,,,102,0,,,55,0,97,0,57,0,8.0,0
2022-08-17 20:46:42+00:00,58685,27,-24.12905,-45.676883,,,,,,,,,,,,,3.2,8,257,0,,,,,,2,,,,,,,,,,,,,1.8,2,,,,,12.8,0,,,101,0,,,55,0,104,0,53,0,8.3,0
2022-08-17 20:16:42+00:00,58678,27,-24.129017,-45.676917,,,,,,,,,,,,,4.0,8,240,0,,,,,20.92,0,,,,,,,,,,,,,1.78,2,,,,,12.8,0,,,105,0,,,55,0,102,0,51,0,8.0,0
2022-08-17 19:46:42+00:00,58677,27,-24.129017,-45.676917,,,,,,,,,,,,,4.8,8,245,0,,,,,,2,,,,,,,,,,,,,1.87,2,,,,,12.8,0,,,101,0,,,56,0,98,0,49,0,7.7,0
2022-08-17 19:16:42+00:00,58670,27,-24.129017,-45.676917,,,,,,,,,,,,,4.8,0,251,0,,,,,20.96,0,,,,,,,,,,,,,1.76,2,,,,,12.8,0,,,106,0,,,56,0,103,0,52,0,7.8,0
2022-08-17 18:46:42+00:00,58669,27,-24.129017,-45.676917,,,,,,,,,,,,,4.8,0,280,0,,,,,,2,,,,,,,,,,,,,1.72,2,,,,,14.6,0,,,104,0,,,55,0,102,0,43,0,7.2,0
2022-08-17 18:16:42+00:00,58662,27,-24.129017,-45.676933,,,,,,,,,,,,,6.0,8,240,0,,,,,20.96,0,,,,,,,,,,,,,1.9,2,,,,,12.8,0,,,102,0,,,53,0,97,0,51,0,7.8,0
2022-08-17 17:46:42+00:00,58661,27,-24.129017,-45.676917,,,,,,,,,,,,,6.8,8,222,0,,,,,,2,,,,,,,,,,,,,1.96,2,,,,,12.8,0,,,102,0,,,54,0,102,0,46,0,8.1,0
2022-08-17 17:16:42+00:00,58654,27,-24.129067,-45.676867,,,,,,,,,,,,,5.6,8,217,0,,,,,20.96,0,,,,,,,,,,,,,1.92,2,,,,,12.8,0,,,105,0,,,54,0,102,0,46,0,7.9,0
2022-08-17 16:46:42+00:00,58653,27,-24.129067,-45.676867,,,,,,,,,,,,,6.0,8,228,0,,,,,,2,,,,,,,,,,,,,1.98,2,,,,,12.8,0,,,107,0,,,52,0,108,0,43,0,7.8,0
