obsv_id,pnboia_id,datetime,wvht,wvht_flag_pnboia,wvht_flag_qartod,tp,tp_flag_pnboia,tp_flag_qartod,wvdir,wvdir_flag_pnboia,wvdir_flag_qartod
58510,20,2022-08-16 23:15:50+00:00,1.26,2,4,25.6,0,4,115.0,0,1
58509,20,2022-08-16 22:45:50+00:00,0.74,0,4,12.8,0,4,126.0,0,1
58502,20,2022-08-16 22:15:50+00:00,0.76,8,4,11.4,0,4,124.0,0,1
58501,20,2022-08-16 21:45:50+00:00,0.76,0,4,12.8,0,4,143.0,0,1
58494,20,2022-08-16 21:15:50+00:00,0.75,8,4,12.8,0,4,143.0,0,1
58493,20,2022-08-16 20:45:50+00:00,0.72,8,4,12.8,0,4,141.0,0,1
58486,20,2022-08-16 20:15:50+00:00,0.79,8,4,12.8,0,4,146.0,0,1
58485,20,2022-08-16 19:45:50+00:00,0.74,8,4,12.8,0,4,146.0,0,1
58478,20,2022-08-16 19:15:50+00:00,0.74,0,4,12.8,0,4,152.0,0,1
58477,20,2022-08-16 18:45:50+00:00,0.67,8,4,12.8,0,4,162.0,0,1
58470,20,2022-08-16 18:15:50+00:00,0.62,8,4,11.4,0,4,159.0,0,1
58469,20,2022-08-16 17:45:50+00:00,0.62,0,4,12.8,0,4,159.0,0,1
58468,20,2022-08-16 17:15:50+00:00,0.62,0,4,12.8,0,4,164.0,0,1
58467,20,2022-08-16 16:45:50+00:00,0.56,8,4,12.8,0,4,164.0,0,1
58466,20,2022-08-16 16:15:50+00:00,0.62,8,4,11.4,0,4,167.0,0,1
58465,20,2022-08-16 15:45:50+00:00,0.62,0,4,12.8,0,4,164.0,0,1
58464,20,2022-08-16 15:15:50+00:00,0.63,8,4,12.8,0,4,163.0,0,1
58463,20,2022-08-16 14:45:50+00:00,0.66,8,4,11.4,0,4,149.0,0,1
58462,20,2022-08-16 14:15:50+00:00,0.72,8,4,12.8,0,4,151.0,0,1
58461,20,2022-08-16 13:45:50+00:00,0.74,8,4,12.8,0,4,150.0,0,1
58460,20,2022-08-16 13:15:50+00:00,0.77,8,4,12.8,0,4,151.0,0,1
58459,20,2022-08-16 12:45:50+00:00,0.8,8,4,12.8,0,4,139.0,0,1
58458,20,2022-08-16 12:15:50+00:00,0.86,8,4,11.4,0,4,140.0,0,1
58457,20,2022-08-16 11:45:50+00:00,0.89,8,4,12.8,0,4,145.0,0,1
58456,20,2022-08-16 11:15:50+00:00,0.92,8,4,12.8,0,4,138.0,0,1
58455,20,2022-08-16 10:45:50+00:00,0.95,8,4,12.8,0,4,147.0,0,1
58454,20,2022-08-16 10:15:50+00:00,0.93,8,4,12.8,0,4,142.0,0,1
58453,20,2022-08-16 09:45:50+00:00,0.95,8,4,12.8,0,4,137.0,0,1
58452,20,2022-08-16 09:15:50+00:00,0.98,8,4,12.8,0,4,138.0,0,1
58451,20,2022-08-16 08:45:50+00:00,0.92,8,4,11.4,0,4,150.0,0,1
58450,20,2022-08-16 08:15:50+00:00,0.93,8,4,11.4,0,4,147.0,0,1
58449,20,2022-08-16 07:45:50+00:00,0.88,8,4,11.4,0,4,142.0,0,1
58448,20,2022-08-16 07:15:50+00:00,0.89,8,4,11.4,0,4,147.0,0,1
58447,20,2022-08-16 06:45:50+00:00,0.89,0,4,12.8,0,4,142.0,0,1
58446,20,2022-08-16 06:15:50+00:00,0.87,8,4,11.4,0,4,153.0,0,1
58445,20,2022-08-16 05:45:50+00:00,0.78,8,4,12.8,0,4,153.0,0,1
58444,20,2022-08-16 05:15:50+00:00,0.77,8,4,12.8,0,4,154.0,0,1
58443,20,2022-08-16 04:45:50+00:00,0.76,8,4,11.4,0,4,151.0,0,1
58442,20,2022-08-16 04:15:50+00:00,0.77,8,4,12.8,0,4,150.0,0,1
58441,20,2022-08-16 03:45:50+00:00,0.75,8,4,12.8,0,4,149.0,0,1
58440,20,2022-08-16 03:15:50+00:00,0.77,8,4,12.8,0,4,151.0,0,1
58439,20,2022-08-16 02:45:50+00:00,0.8,8,4,12.8,0,4,142.0,0,1
58438,20,2022-08-16 02:15:50+00:00,0.87,8,4,12.8,0,4,140.0,0,1
58437,20,2022-08-16 01:45:50+00:00,0.92,8,4,11.4,0,4,128.0,0,1
58436,20,2022-08-16 01:15:50+00:00,0.96,8,4,12.8,0,4,132.0,0,1
