obsv_id,pnboia_id,datetime,wvht,wvht_flag_pnboia,wvht_flag_qartod,tp,tp_flag_pnboia,tp_flag_qartod,wvdir,wvdir_flag_pnboia,wvdir_flag_qartod
58508,27,2022-08-16 23:16:42+00:00,1.71,2,4,9.3,0,4,96,0,1
58507,27,2022-08-16 22:46:42+00:00,1.8,2,4,8.5,0,4,98,0,1
58500,27,2022-08-16 22:16:42+00:00,1.88,2,4,8.5,0,4,94,0,1
58499,27,2022-08-16 21:46:42+00:00,1.82,2,4,12.8,0,4,94,0,1
58492,27,2022-08-16 21:16:42+00:00,1.87,2,4,12.8,0,4,94,0,1
58491,27,2022-08-16 20:46:42+00:00,1.87,2,4,11.4,0,4,93,0,1
58484,27,2022-08-16 20:16:42+00:00,1.91,2,4,12.8,0,4,93,0,1
58483,27,2022-08-16 19:46:42+00:00,2.01,2,4,7.9,0,4,91,0,1
58476,27,2022-08-16 19:16:42+00:00,1.94,2,4,7.9,0,4,93,0,1
58475,27,2022-08-16 18:46:42+00:00,1.95,2,4,7.9,0,4,89,0,1
58388,27,2022-08-16 18:16:42+00:00,2.07,2,4,7.9,0,4,85,0,1
58387,27,2022-08-16 17:46:42+00:00,2.07,2,4,7.9,0,4,91,0,1
58386,27,2022-08-16 17:16:42+00:00,2.09,2,4,7.9,0,4,90,0,1
58385,27,2022-08-16 16:46:42+00:00,2.11,2,4,11.4,0,4,94,0,1
58384,27,2022-08-16 16:16:42+00:00,2.2,2,4,7.9,0,4,96,0,1
58383,27,2022-08-16 15:46:42+00:00,2.02,2,4,11.4,0,4,94,0,1
58382,27,2022-08-16 15:16:42+00:00,1.95,2,4,7.9,0,4,96,0,1
58381,27,2022-08-16 14:46:42+00:00,1.94,2,4,7.9,0,4,94,0,1
58380,27,2022-08-16 14:16:42+00:00,2.06,2,4,12.8,0,4,93,0,1
58379,27,2022-08-16 13:46:42+00:00,1.98,2,4,11.4,0,4,95,0,1
58378,27,2022-08-16 13:16:42+00:00,1.97,2,4,7.9,0,4,90,0,1
58377,27,2022-08-16 12:46:42+00:00,2.11,2,4,7.9,0,4,86,0,1
58376,27,2022-08-16 12:16:42+00:00,2.04,2,4,8.5,0,4,94,0,1
58375,27,2022-08-16 11:46:42+00:00,2.05,2,4,8.5,0,4,88,0,1
58374,27,2022-08-16 11:16:42+00:00,2.22,2,4,11.4,0,4,92,0,1
58373,27,2022-08-16 10:46:42+00:00,2.01,2,4,12.8,0,4,89,0,1
58372,27,2022-08-16 10:16:42+00:00,2.14,2,4,12.8,0,4,92,0,1
58371,27,2022-08-16 09:46:42+00:00,2.07,2,4,11.4,0,4,96,0,1
58370,27,2022-08-16 09:16:42+00:00,2.1,2,4,11.4,0,4,100,0,1
58369,27,2022-08-16 08:46:42+00:00,2.04,2,4,11.4,0,4,93,0,1
58368,27,2022-08-16 08:16:42+00:00,2.02,2,4,12.8,0,4,98,0,1
58367,27,2022-08-16 07:46:42+00:00,2.07,2,4,12.8,0,4,96,0,1
58366,27,2022-08-16 07:16:42+00:00,2.34,2,4,11.4,0,4,98,0,1
58365,27,2022-08-16 06:46:42+00:00,2.01,2,4,12.8,0,4,100,0,1
58364,27,2022-08-16 06:16:42+00:00,1.96,2,4,12.8,0,4,103,0,1
58363,27,2022-08-16 05:46:42+00:00,1.9,2,4,11.4,0,4,96,0,1
58362,27,2022-08-16 05:16:42+00:00,1.79,2,4,7.3,0,4,94,0,1
58361,27,2022-08-16 04:46:42+00:00,1.97,2,4,11.4,0,4,95,0,1
58360,27,2022-08-16 04:16:42+00:00,1.89,2,4,12.8,0,4,98,0,1
58359,27,2022-08-16 03:46:42+00:00,2.0,2,4,11.4,0,4,104,0,1
58358,27,2022-08-16 03:16:42+00:00,2.0,2,4,11.4,0,4,102,0,1
58357,27,2022-08-16 02:46:42+00:00,1.9,2,4,12.8,0,4,104,0,1
58356,27,2022-08-16 02:16:42+00:00,1.87,2,4,12.8,0,4,103,0,1
58355,27,2022-08-16 01:46:42+00:00,1.94,2,4,11.4,0,4,100,0,1
58354,27,2022-08-16 01:16:42+00:00,1.93,2,4,11.4,0,4,107,0,1
58353,27,2022-08-16 00:46:42+00:00,1.83,2,4,11.4,0,4,103,0,1
58352,27,2022-08-16 00:16:42+00:00,1.91,2,4,11.4,0,4,101,0,1
58351,27,2022-08-15 23:46:42+00:00,1.95,2,4,12.8,0,4,101,0,1
58350,27,2022-08-15 23:16:42+00:00,2.06,2,4,12.8,0,4,101,0,1
58349,27,2022-08-15 22:46:42+00:00,1.88,2,4,12.8,0,4,100,0,1
58348,27,2022-08-15 22:16:42+00:00,1.88,2,4,12.8,0,4,99,0,1
58347,27,2022-08-15 21:46:42+00:00,2.0,2,4,11.4,0,4,102,0,1
58306,27,2022-08-15 21:16:42+00:00,1.95,2,4,12.8,0,4,101,0,1
58305,27,2022-08-15 20:46:42+00:00,1.98,2,4,7.3,0,4,98,0,1
58300,27,2022-08-15 20:16:42+00:00,1.99,2,4,7.9,0,4,98,0,1
58299,27,2022-08-15 19:46:42+00:00,1.91,2,4,7.3,0,4,99,0,1
58294,27,2022-08-15 19:16:42+00:00,1.95,2,4,7.9,0,4,101,0,1
58293,27,2022-08-15 18:46:42+00:00,1.95,2,4,7.9,0,4,104,0,1
58288,27,2022-08-15 18:16:42+00:00,2.08,2,4,7.9,0,4,103,0,1
58287,27,2022-08-15 17:46:42+00:00,2.0,2,4,11.4,0,4,104,0,1
58282,27,2022-08-15 17:16:42+00:00,2.13,2,4,7.9,0,4,104,0,1
58281,27,2022-08-15 16:46:42+00:00,2.11,2,4,11.4,0,4,101,0,1
58276,27,2022-08-15 16:16:42+00:00,2.2,2,4,11.4,0,4,107,0,1
58275,27,2022-08-15 15:46:42+00:00,2.09,2,4,7.9,0,4,104,0,1
58270,27,2022-08-15 15:16:42+00:00,2.16,2,4,8.5,0,4,103,0,1
58269,27,2022-08-15 14:46:42+00:00,2.15,2,4,11.4,0,4,104,0,1
58262,27,2022-08-15 14:16:42+00:00,2.21,2,4,11.4,0,4,104,0,1
58261,27,2022-08-15 13:46:42+00:00,2.31,2,4,7.9,0,4,106,0,1
58254,27,2022-08-15 13:16:42+00:00,2.24,2,4,8.5,0,4,105,0,1
58253,27,2022-08-15 12:46:42+00:00,2.2,2,4,11.4,0,4,107,0,1
58246,27,2022-08-15 12:16:42+00:00,2.1,2,4,11.4,0,4,102,0,1
58245,27,2022-08-15 11:46:42+00:00,2.18,2,4,11.4,0,4,105,0,1
58238,27,2022-08-15 11:16:42+00:00,2.06,2,4,7.9,0,4,101,0,1
58237,27,2022-08-15 10:46:42+00:00,2.13,2,4,11.4,0,4,107,0,1
58230,27,2022-08-15 10:16:42+00:00,2.12,2,4,7.3,0,4,99,0,1
58229,27,2022-08-15 09:46:42+00:00,2.07,2,4,11.4,0,4,105,0,1
58222,27,2022-08-15 09:16:42+00:00,2.1,2,4,10.2,0,4,108,0,1
58221,27,2022-08-15 08:46:42+00:00,2.08,2,4,7.9,0,4,105,0,1
58214,27,2022-08-15 08:16:42+00:00,2.12,2,4,11.4,0,4,106,0,1
58213,27,2022-08-15 07:46:42+00:00,2.04,2,4,11.4,0,4,104,0,1
58206,27,2022-08-15 07:16:42+00:00,2.21,2,4,11.4,0,4,107,0,1
