obsv_id,pnboia_id,datetime,wvht,wvht_flag_pnboia,wvht_flag_qartod,tp,tp_flag_pnboia,tp_flag_qartod,wvdir,wvdir_flag_pnboia,wvdir_flag_qartod
58512,29,2022-08-16 23:22:40+00:00,1.81,2,4,9.3,0,4,87,0,1
58511,29,2022-08-16 22:52:40+00:00,1.8,2,4,10.2,0,4,91,0,1
58504,29,2022-08-16 22:24:26+00:00,1.81,2,4,9.3,0,4,91,0,1
58503,29,2022-08-16 21:54:26+00:00,1.85,2,4,9.3,0,4,97,0,1
58496,29,2022-08-16 21:26:10+00:00,1.91,2,4,11.4,0,4,98,0,1
58495,29,2022-08-16 20:56:10+00:00,1.85,2,4,9.3,0,4,95,0,1
58488,29,2022-08-16 20:27:56+00:00,1.94,2,4,11.4,0,4,101,0,1
58487,29,2022-08-16 19:57:56+00:00,2.04,2,4,9.3,0,4,93,0,1
58480,29,2022-08-16 19:29:41+00:00,1.96,2,4,9.3,0,4,94,0,1
58479,29,2022-08-16 18:59:41+00:00,1.84,2,4,9.3,0,4,92,0,1
58472,29,2022-08-16 18:31:26+00:00,1.89,2,4,9.3,0,4,86,0,1
58471,29,2022-08-16 18:01:26+00:00,1.85,2,4,11.4,0,4,87,0,1
58346,29,2022-08-16 17:33:12+00:00,1.83,2,4,11.4,0,4,86,0,1
58345,29,2022-08-16 17:03:12+00:00,1.92,2,4,10.2,0,4,86,0,1
58344,29,2022-08-16 16:34:57+00:00,1.84,2,4,10.2,0,4,83,0,1
58343,29,2022-08-16 16:04:57+00:00,1.98,2,4,11.4,0,4,87,0,1
58342,29,2022-08-16 15:36:42+00:00,1.84,2,4,11.4,0,4,85,0,1
58341,29,2022-08-16 15:06:42+00:00,2.0,2,4,11.4,0,4,85,0,1
58340,29,2022-08-16 14:38:26+00:00,1.75,2,4,7.9,0,4,81,0,1
58339,29,2022-08-16 14:08:26+00:00,2.02,2,4,11.4,0,4,81,0,1
58338,29,2022-08-16 13:40:12+00:00,1.96,2,4,11.4,0,4,85,0,1
58337,29,2022-08-16 13:10:12+00:00,1.89,2,4,9.3,0,4,83,0,1
58336,29,2022-08-16 12:41:56+00:00,1.96,2,4,8.5,0,4,83,0,1
58335,29,2022-08-16 12:11:56+00:00,1.94,2,4,11.4,0,4,81,0,1
58334,29,2022-08-16 11:43:41+00:00,1.78,2,4,9.3,0,4,82,0,1
58333,29,2022-08-16 11:13:41+00:00,1.95,2,4,9.3,0,4,78,0,1
58332,29,2022-08-16 10:45:26+00:00,2.12,2,4,9.3,0,4,78,0,1
58331,29,2022-08-16 10:15:26+00:00,2.03,2,4,9.3,0,4,77,0,1
58330,29,2022-08-16 09:47:11+00:00,2.11,2,4,9.3,0,4,78,0,1
58329,29,2022-08-16 09:17:11+00:00,1.88,2,4,8.5,0,4,74,0,1
58328,29,2022-08-16 08:48:56+00:00,1.87,2,4,10.2,0,4,82,0,1
58327,29,2022-08-16 08:18:56+00:00,2.07,2,4,10.2,0,4,81,0,1
58326,29,2022-08-16 07:50:41+00:00,2.06,2,4,11.4,0,4,85,0,1
58325,29,2022-08-16 07:20:41+00:00,2.02,2,4,10.2,0,4,81,0,1
58324,29,2022-08-16 06:52:26+00:00,2.08,2,4,9.3,0,4,79,0,1
58323,29,2022-08-16 06:22:26+00:00,2.0,2,4,10.2,0,4,83,0,1
58322,29,2022-08-16 05:54:11+00:00,2.02,2,4,9.3,0,4,84,0,1
58321,29,2022-08-16 05:24:11+00:00,1.95,2,4,10.2,0,4,88,0,1
58320,29,2022-08-16 04:55:56+00:00,1.98,2,4,10.2,0,4,98,0,1
