obsv_id,pnboia_id,datetime,wvht,wvht_flag_pnboia,wvht_flag_qartod,tp,tp_flag_pnboia,tp_flag_qartod,wvdir,wvdir_flag_pnboia,wvdir_flag_qartod
58514,28,2022-08-16 23:27:49+00:00,1.89,2,4,7.9,0,4,130.0,0,1
58513,28,2022-08-16 22:57:49+00:00,2.07,2,4,6.8,0,4,126.0,0,1
58506,28,2022-08-16 22:27:49+00:00,2.11,2,4,6.8,0,4,130.0,0,1
58505,28,2022-08-16 21:57:49+00:00,2.12,2,4,7.9,0,4,131.0,0,1
58498,28,2022-08-16 21:27:49+00:00,2.07,2,4,7.3,0,4,132.0,0,1
58497,28,2022-08-16 20:57:49+00:00,2.06,2,4,7.9,0,4,135.0,0,1
58490,28,2022-08-16 20:27:49+00:00,2.16,2,4,6.8,0,4,133.0,0,1
58489,28,2022-08-16 19:57:49+00:00,2.06,2,4,7.3,0,4,135.0,0,1
58482,28,2022-08-16 19:27:49+00:00,,2,9,,0,9,,0,9
58481,28,2022-08-16 18:57:49+00:00,2.26,2,4,7.3,0,4,132.0,0,1
58474,28,2022-08-16 18:27:49+00:00,2.09,2,4,7.9,0,4,131.0,0,1
58473,28,2022-08-16 17:57:49+00:00,2.1,2,4,7.9,0,4,132.0,0,1
58428,28,2022-08-16 17:27:49+00:00,1.94,2,4,7.9,0,4,137.0,0,1
58427,28,2022-08-16 16:57:49+00:00,2.07,2,4,7.3,0,4,132.0,0,1
58426,28,2022-08-16 16:27:49+00:00,2.64,2,4,25.6,0,4,143.0,0,1
58425,28,2022-08-16 15:57:49+00:00,2.02,2,4,7.3,0,4,136.0,0,1
58424,28,2022-08-16 15:27:49+00:00,2.06,2,4,11.4,0,4,135.0,0,1
58423,28,2022-08-16 14:57:49+00:00,1.99,2,4,7.9,0,4,134.0,0,1
58422,28,2022-08-16 14:27:49+00:00,2.02,2,4,7.3,0,4,139.0,0,1
58421,28,2022-08-16 13:57:49+00:00,1.88,2,4,7.3,0,4,132.0,0,1
58420,28,2022-08-16 13:27:49+00:00,1.86,2,4,7.3,0,4,130.0,0,1
58419,28,2022-08-16 12:57:49+00:00,1.77,2,4,7.9,0,4,130.0,0,1
58418,28,2022-08-16 12:27:49+00:00,1.87,2,4,7.3,0,4,133.0,0,1
58417,28,2022-08-16 11:57:49+00:00,1.91,2,4,7.9,0,4,129.0,0,1
58416,28,2022-08-16 11:27:49+00:00,1.88,2,4,7.9,0,4,132.0,0,1
58415,28,2022-08-16 10:57:49+00:00,1.82,2,4,7.9,0,4,131.0,0,1
58414,28,2022-08-16 10:27:49+00:00,1.97,2,4,7.9,0,4,130.0,0,1
58413,28,2022-08-16 09:57:49+00:00,1.9,2,4,7.9,0,4,132.0,0,1
58412,28,2022-08-16 09:27:49+00:00,1.71,2,4,7.9,0,4,130.0,0,1
58411,28,2022-08-16 08:57:49+00:00,1.94,2,4,7.9,0,4,132.0,0,1
58410,28,2022-08-16 08:27:49+00:00,1.99,2,4,7.9,0,4,131.0,0,1
58409,28,2022-08-16 07:57:49+00:00,1.98,2,4,7.9,0,4,129.0,0,1
58408,28,2022-08-16 07:27:49+00:00,1.99,2,4,7.9,0,4,134.0,0,1
58407,28,2022-08-16 06:57:49+00:00,1.93,2,4,7.9,0,4,136.0,0,1
58406,28,2022-08-16 06:27:49+00:00,2.04,2,4,7.9,0,4,136.0,0,1
58405,28,2022-08-16 05:57:49+00:00,1.92,2,4,7.3,0,4,136.0,0,1
58404,28,2022-08-16 05:27:49+00:00,2.12,2,4,7.9,0,4,131.0,0,1
58403,28,2022-08-16 04:57:49+00:00,1.98,2,4,7.9,0,4,132.0,0,1
58402,28,2022-08-16 04:27:49+00:00,2.09,2,4,7.9,0,4,137.0,0,1
58401,28,2022-08-16 03:57:49+00:00,2.17,2,4,7.9,0,4,138.0,0,1
58400,28,2022-08-16 03:27:49+00:00,2.04,2,4,7.9,0,4,134.0,0,1
58399,28,2022-08-16 02:57:49+00:00,2.06,2,4,7.3,0,4,136.0,0,1
58398,28,2022-08-16 02:27:49+00:00,2.16,2,4,7.3,0,4,137.0,0,1
58397,28,2022-08-16 01:57:49+00:00,2.2,2,4,7.9,0,4,133.0,0,1
58396,28,2022-08-16 01:27:49+00:00,2.15,2,4,6.4,0,4,136.0,0,1
58395,28,2022-08-16 00:57:49+00:00,2.07,2,4,8.5,0,4,135.0,0,1
58394,28,2022-08-16 00:27:49+00:00,2.12,2,4,7.9,0,4,131.0,0,1
58393,28,2022-08-15 23:57:49+00:00,2.07,2,4,7.9,0,4,135.0,0,1
58392,28,2022-08-15 23:27:49+00:00,2.05,2,4,7.9,0,4,134.0,0,1
58391,28,2022-08-15 22:57:49+00:00,2.14,2,4,7.9,0,4,134.0,0,1
58390,28,2022-08-15 22:27:49+00:00,2.05,2,4,7.9,0,4,135.0,0,1
58389,28,2022-08-15 21:57:49+00:00,2.11,2,4,7.9,0,4,133.0,0,1
